case_id,initialization,interior_points,seed_hash_match,euler_feasible,slsqp_feasible,slsqp_minus_euler_percent
competing_corridors-s06,arc_right,128,False,True,False,
competing_corridors-s06,barrier,32,True,True,True,-22.26895073941048
competing_corridors-s06,barrier,64,True,False,True,
competing_corridors-s06,barrier,128,False,False,False,
competing_corridors-s06,fast_marching,32,True,True,True,-0.003215990520516119
competing_corridors-s06,fast_marching,64,True,True,True,-0.00042928136576393026
competing_corridors-s06,fast_marching,128,False,True,False,
competing_corridors-s06,straight,32,True,False,True,
competing_corridors-s06,straight,64,False,False,False,
competing_corridors-s06,straight,128,False,False,False,
competing_corridors-s07,arc_left,32,True,True,True,-23.140776785357907
competing_corridors-s07,arc_left,64,True,True,True,-17.326494749850838
competing_corridors-s07,arc_left,128,False,True,False,
competing_corridors-s07,arc_right,32,True,True,True,0.005188529145382943
competing_corridors-s07,arc_right,64,True,True,True,0.0013777883862431018
competing_corridors-s07,arc_right,128,False,True,False,
competing_corridors-s07,barrier,32,True,False,True,
competing_corridors-s07,barrier,64,True,False,True,
competing_corridors-s07,barrier,128,False,False,False,
competing_corridors-s07,fast_marching,32,True,True,True,0.005188515783025801
competing_corridors-s07,fast_marching,64,True,True,True,0.0013777775508843832
competing_corridors-s07,fast_marching,128,False,True,False,
competing_corridors-s07,straight,32,True,False,True,
competing_corridors-s07,straight,64,False,False,False,
competing_corridors-s07,straight,128,False,False,False,
competing_corridors-s08,arc_left,32,True,True,True,-25.754641550714936
competing_corridors-s08,arc_left,64,True,True,True,-24.836578619772915
competing_corridors-s08,arc_left,128,False,True,False,
competing_corridors-s08,arc_right,32,True,True,True,0.006429798655841192
competing_corridors-s08,arc_right,64,True,True,True,0.001753930320079489
competing_corridors-s08,arc_right,128,False,True,False,
competing_corridors-s08,barrier,32,True,False,True,
competing_corridors-s08,barrier,64,True,False,True,
competing_corridors-s08,barrier,128,False,False,False,
competing_corridors-s08,fast_marching,32,True,True,True,0.006429800298466386
competing_corridors-s08,fast_marching,64,True,True,True,0.001753933899065738
competing_corridors-s08,fast_marching,128,False,True,False,
competing_corridors-s08,straight,32,True,False,True,
competing_corridors-s08,straight,64,False,False,False,
competing_corridors-s08,straight,128,False,False,False,
competing_corridors-s09,arc_left,32,True,True,True,-25.105005413133735
competing_corridors-s09,arc_left,64,True,True,True,-24.979234935727387
competing_corridors-s09,arc_left,128,False,True,False,
competing_corridors-s09,arc_right,32,True,True,True,0.0013776614621636297
competing_corridors-s09,arc_right,64,True,True,True,0.0003928789910852379
competing_corridors-s09,arc_right,128,False,True,False,
competing_corridors-s09,barrier,32,True,False,True,
competing_corridors-s09,barrier,64,True,False,True,
competing_corridors-s09,barrier,128,False,False,False,
competing_corridors-s09,fast_marching,32,True,True,True,0.001377673682385422
competing_corridors-s09,fast_marching,64,True,True,True,0.00039289286241924457
competing_corridors-s09,fast_marching,128,False,True,False,
competing_corridors-s09,straight,32,True,False,True,
competing_corridors-s09,straight,64,False,False,False,
competing_corridors-s09,straight,128,False,False,False,
competing_corridors-s10,arc_left,32,True,False,True,
competing_corridors-s10,arc_left,64,True,False,True,
competing_corridors-s10,arc_left,128,False,True,False,
competing_corridors-s10,arc_right,32,True,True,True,-0.0004164370975026121
competing_corridors-s10,arc_right,64,True,True,True,-2.1316925340235565e-05
competing_corridors-s10,arc_right,128,False,True,False,
competing_corridors-s10,barrier,32,True,False,True,
competing_corridors-s10,barrier,64,True,False,True,
competing_corridors-s10,barrier,128,False,False,False,
